Id,1stFlrSF,GrLivArea,SalePrice
290,698,1396,153575
291,1079,1919,233230
292,936,1716,135900
293,1148,1716,131000
294,1468,2263,235000
295,1644,1644,167000
296,1003,1003,142500
297,910,1558,152000
298,975,1950,239000
299,1041,1743,175000
300,1152,1152,158500
301,1336,1336,157000
302,1210,2452,267000
303,1541,1541,205000
304,894,894,149900
305,1675,3493,295000
306,2000,2000,305900
307,1122,2243,225000
308,1035,1406,89500
309,861,861,82500
310,1944,1944,360000
311,697,1501,165600
312,972,972,132000
313,793,1118,119900
314,2036,2036,375000
315,832,1641,178000
316,716,1432,188500
317,1153,2353,260000
318,1088,1959,270000
319,1372,2646,260000
320,1472,1472,187500
321,1249,2596,342643
322,1136,2468,354000
323,1553,2730,301000
324,1163,1163,126175
325,1898,2978,242000
326,803,803,87000
327,1719,1719,324000
328,1383,1383,145250
329,1445,2134,214500
330,596,1192,78000
331,1728,1728,119000
332,1056,1056,139000
333,1629,1629,284000
334,1358,1358,207000
335,943,1638,192000
336,1619,1786,228950
337,1922,1922,377426
338,1536,1536,214000
339,1621,1621,202500
340,1215,1215,155000
341,993,1908,202900
342,841,841,82000
343,1040,1040,87500
344,1684,1684,266000
345,536,1112,85000
346,972,1577,140200
347,958,958,151500
348,1478,1478,157500
349,764,1626,154000
350,1848,2728,437154
351,1869,1869,318061
352,1453,1453,190000
353,616,1111,95000
354,720,720,105900
355,1192,1595,140000
356,1200,1200,177500
357,1167,1167,173000
358,1142,1142,134000
359,1352,1352,130000
360,1086,1924,280000
361,912,912,156000
362,988,1505,145000
363,495,1922,198500
364,483,987,118000
365,790,1574,190000
366,672,1344,147000
367,1394,1394,159000
368,1431,1431,165000
369,1268,1268,132000
370,1287,1287,162000
371,953,1664,172400
372,1120,1588,134432
373,752,752,125000
374,1319,1319,123000
375,847,1928,219500
376,904,904,61000
377,914,914,148000
378,1580,2466,340000
379,1856,1856,394432
380,1007,1800,179000
381,1026,1691,127000
382,1301,1301,187750
383,939,1797,213500
384,784,784,76000
385,1079,1953,240000
386,1269,1269,192000
387,658,1184,81000
388,1125,1125,125000
389,1479,1479,191000
390,1742,2332,426000
391,961,1367,119000
392,804,1961,215000
393,882,882,106500
394,788,788,100000
395,735,1034,109000
396,1144,1144,129000
397,894,894,123000
398,876,1812,169500
399,1077,1077,67000
400,1112,1550,241000
401,1288,1288,245500
402,1310,1310,164990
403,672,672,108000
404,1165,2263,258000
405,806,1572,168000
406,1620,1620,150000
407,1166,1639,115000
408,840,1680,177000
409,1071,2172,280000
410,1050,2078,339750
411,1276,1276,60000
412,1056,1056,145000
413,1478,1478,222000
414,1028,1028,115000
415,1080,2097,228000
416,1340,1340,181134
417,672,1400,149500
418,1370,2624,239000
419,756,1134,126000
420,1056,1056,142000
421,1344,1344,206300
422,1602,1602,215000
423,988,988,113000
424,1470,2630,315000
425,1196,1196,139000
426,707,1389,135000
427,1644,1644,275000
428,907,907,109008
429,1208,1208,195400
430,1412,1412,175000
431,483,987,85400
432,1088,1198,79900
433,765,1365,122500
434,926,1604,181000
435,630,630,81000
436,827,1661,212000
437,734,1118,116000
438,904,904,119000
439,694,694,90350
440,684,1196,110000
441,2402,2402,555000
442,1440,1440,118000
443,1128,1573,162900
444,1258,1258,172500
445,933,1908,210000
446,1689,1689,127500
447,1888,1888,190000
448,956,1886,199900
449,780,1376,119500
450,679,1183,120000
451,813,813,110000
452,1533,1533,280000
453,888,1756,204000
454,786,1590,210000
455,1728,1728,188000
456,1242,1242,175500
457,624,1344,98000
458,1663,1663,256000
459,833,1666,161000
460,979,1203,110000
461,832,1935,263435
462,575,1135,155000
463,864,864,62383
464,849,1660,188700
465,1040,1040,124000
466,1414,1414,178740
467,1277,1277,167000
468,888,1644,146500
469,1634,1634,250000
470,832,1710,187000
471,1502,1502,212000
472,1161,1969,190000
473,1072,1072,148000
474,1976,1976,440000
475,1652,1652,251000
476,970,970,132500
477,1493,1493,208900
478,2069,2643,380000
479,1718,1718,297000
480,1131,1131,89471
481,1850,1850,326000
482,1792,1792,374000
483,916,1826,155000
484,1216,1216,164000
485,999,999,132500
486,1113,1113,147000
487,1073,1073,156000
488,1484,1484,175000
489,1766,2414,160000
490,630,630,86000
491,616,1304,115000
492,958,1578,133000
493,728,1456,172785
494,1269,1269,155000
495,886,886,91300
496,720,720,34900
497,3228,3228,430000
498,1133,1820,184000
499,899,899,130000
500,912,912,120000
501,672,1218,113000
502,866,1768,226700
503,1214,1214,140000
504,1801,1801,289000
505,855,1322,147000
506,960,1960,124500
507,1065,1911,215000
508,1218,1218,208300
509,689,1378,161000
510,1041,1041,124500
511,1363,1363,164900
512,1368,1368,202665
513,864,864,129900
514,1080,1080,134000
515,789,789,96500
516,2020,2020,402861
517,1378,2119,158000
518,1277,2344,265000
519,882,1796,211000
520,1276,2080,234000
521,694,1294,106250
522,1244,1244,150000
523,1004,1664,159000
524,3138,4676,184750
525,1383,2398,315750
526,1266,1266,176000
527,928,928,132000
528,1476,2713,446261
529,605,605,86000
530,2515,2515,200624
531,1509,1509,175000
532,751,1362,128000
533,827,827,107500
534,334,334,39300
535,707,1414,178000
536,820,1347,107500
537,880,1724,188000
538,864,864,111250
539,1159,1159,158000
540,1601,1601,272000
541,1838,1838,315000
542,997,2285,248000
543,1680,1680,213250
544,767,767,133000
545,664,1496,179665
546,1377,2183,229000
547,915,1635,210000
548,768,768,129500
549,825,825,125000
550,912,2094,263000
551,1069,1069,140000
552,928,928,112500
553,1717,1717,255500
554,1126,1126,108000
555,1006,2046,284000
556,1048,1048,113000
557,1092,1092,141000
558,897,1336,108000
559,729,1446,175000
560,1557,1557,234000
561,1392,1392,121500
562,1389,1389,170000
563,996,996,108000
564,1163,1674,185000
565,1166,2295,268000
566,841,1647,128000
567,1134,2504,325000
568,1535,1535,214000
569,1496,2132,316600
570,943,943,135960
571,1728,1728,142600
572,864,864,120000
573,846,1692,224500
574,774,1430,170000
575,576,1109,139000
576,832,1216,118500
577,877,1477,145000
578,1320,1320,164500
579,703,1392,146000
580,1050,1795,131500
581,1429,1429,181900
582,2042,2042,253293
583,816,816,118500
584,1521,2775,325000
585,989,1573,133000
586,2028,2028,369900
587,838,838,130000
588,860,860,137000
589,1473,1473,143000
590,779,935,79500
591,770,1582,185900
592,1728,2296,451950
593,816,816,138000
594,848,848,140000
595,924,924,110000
596,1826,1826,319000
597,684,1368,114504
598,1402,1402,194201
599,1647,1647,217500
600,716,1556,151000
601,1058,1904,275000
602,780,1375,141000
603,927,1915,220000
604,600,1200,151000
605,1494,1494,221000
606,1186,1986,205000
607,1040,1040,152000
608,1112,2008,225000
609,1940,3194,359100
610,1029,1029,118500
611,1476,2153,313000
612,1032,1032,148000
613,1299,1872,261500
614,1120,1120,147000
615,630,630,75500
616,1054,1054,137500
617,807,1509,183200
618,832,832,105500
619,1828,1828,314813
620,1482,2262,305000
621,864,864,67000
622,1548,2614,240000
623,980,980,135000
624,756,1512,168500
625,1012,1790,165150
626,1116,1116,160000
627,1422,1422,139900
628,1520,1520,153000
629,1040,2080,135000
630,1350,1350,168500
631,1089,1750,124000
632,1554,1554,209500
633,1411,1411,82500
634,1056,1056,139400
635,1056,1056,144000
636,1440,3395,200000
637,800,800,60000
638,811,1387,93000
639,796,796,85000
640,1567,1567,264561
641,1518,1518,274000
642,1057,1929,226000
643,2000,2704,345000
644,780,1620,152000
645,1766,1766,370878
646,981,981,143250
647,1048,1048,98300
648,1094,1094,155000
649,1051,1839,155000
650,630,630,84500
651,822,1665,205950
652,755,1510,108000
653,909,1716,191000
654,756,1469,135000
655,2113,2113,350000
656,525,1092,88000
657,1053,1053,145500
658,851,1502,149000
659,912,1458,97500
660,1486,1486,167000
661,1142,1935,197900
662,1686,2448,402000
663,1392,1392,110000
664,1181,1181,137500
665,2097,2097,423000
666,1454,1936,230500
667,1465,2380,129000
668,1679,1679,193500
669,1437,1437,168000
670,1180,1180,137500
671,738,1476,173500
672,697,1369,103600
673,1208,1208,165000
674,1839,1839,257500
675,1136,1136,140000
676,855,1441,148500
677,1095,1774,87000
678,792,792,109500
679,2046,2046,372500
680,988,988,128500
681,923,923,143000
682,848,1520,159434
683,1291,1291,173000
684,1668,1668,285000
685,1195,1839,221000
686,1190,2090,207500
687,874,1761,227875
688,551,1102,148800
689,1419,1419,392000
690,1362,1362,194700
691,848,848,141000
692,2444,4316,755000
693,1238,2519,335000
694,1073,1073,108480
695,1067,1539,141500
696,1137,1137,176000
697,616,616,89000
698,1148,1148,123500
699,894,894,138500
700,1391,1391,196000
701,1800,1800,312500
702,1164,1164,140000
703,1264,2576,361919
704,1032,1812,140000
705,1484,1484,213000
706,372,1092,55000
707,1824,1824,302000
708,1324,1324,254000
709,728,1456,179540
710,904,904,109900
711,729,729,52000
712,859,1178,102776
713,1228,1228,189000
714,960,960,129000
715,725,1479,130500
716,1350,1350,165000
717,1576,2554,159500
718,1178,1178,157000
719,1325,2418,341000
720,971,971,128500
721,1742,1742,275000
722,848,848,143000
723,864,864,124500
724,997,1470,135000
725,1698,1698,320000
726,864,864,120500
727,1680,1680,222000
728,1232,1232,194500
729,1776,1776,110000
730,848,1208,103000
731,1616,1616,236500
732,1146,1146,187500
733,1153,2031,222500
734,1144,1144,131400
735,948,948,108000
736,880,1768,163000
737,1040,1040,93500
738,901,1801,239900
739,1200,1200,179000
740,864,1728,190000
741,768,1432,132000
742,912,912,142000
743,1349,1349,179000
744,1464,1464,175000
745,1337,1337,180000
746,1175,2715,299800
747,980,2256,236000
748,1320,2640,265979
749,1720,1720,260400
750,1088,1529,98000
751,792,1140,96500
752,660,1320,162000
753,1494,1494,217000
754,1038,2098,275500
755,1026,1026,156000
756,742,1471,172500
757,866,1768,212000
758,672,1386,158900
759,757,1501,179400
760,1328,2531,290000
761,864,864,127500
762,1301,1301,100000
763,764,1547,215200
764,1268,2365,337000
765,1494,1494,270000
766,1506,1506,264132
767,980,1714,196500
768,983,1750,160000
769,1836,1836,216837
770,1690,3279,538000
771,858,858,134900
772,1220,1220,102000
773,1117,1117,107000
774,912,912,114500
775,1973,1973,395000
776,1204,1204,162000
777,1614,1614,221500
778,894,894,142500
779,2020,2020,144000
780,1004,1004,135000
781,1253,1253,176000
782,810,1603,175900
783,1430,1430,187100
784,1110,1110,165500
785,742,1484,128000
786,1342,1342,161500
787,966,1652,139000
788,956,2084,233000
789,901,901,107900
790,976,2087,187500
791,1145,1145,160200
792,1062,1062,146800
793,1127,2013,269790
794,1496,1496,225000
795,1086,1895,194500
796,888,1564,171000
797,1285,1285,143500
798,773,773,110000
799,1966,3140,485000
800,981,1768,175000
801,616,1688,200000
802,1196,1196,109900
803,728,1456,189000
804,1734,2822,582933
805,1128,1128,118000
806,1428,1428,227680
807,980,980,135500
808,1072,1576,223500
809,1086,1086,159950
810,1075,2138,106000
811,1309,1309,181000
812,848,848,144500
813,1044,1044,55993
814,1442,1442,157900
815,686,1250,116000
816,1661,1661,224900
817,1008,1008,137000
818,1689,1689,271000
819,1052,1052,155000
820,1358,1358,224000
821,798,1640,183000
822,936,936,93000
823,847,1733,225000
824,944,1489,139500
825,1489,1489,232600
826,2084,2084,385000
827,784,784,109500
828,1434,1434,189000
829,1160,2126,185000
830,520,1223,147400
831,1392,1392,166000
832,520,1200,151000
833,941,1829,237000
834,1516,1516,167000
835,1144,1144,139950
836,1067,1067,128000
837,1559,1559,153500
838,483,987,100000
839,1099,1099,144000
840,768,1200,130500
841,810,1482,140000
842,958,1539,157500
843,1165,1165,174900
844,1800,1800,141000
845,876,1416,153900
846,1701,1701,171000
847,1006,1775,213000
848,864,864,133500
849,1307,2358,240000
850,1094,1855,187000
851,848,848,131500
852,1456,1456,215000
853,918,1646,164000
854,1445,1445,158000
855,1779,1779,170000
856,1040,1040,127000
857,1026,1026,147000
858,702,1481,174000
859,1370,1370,152000
860,1512,2654,250000
861,912,1426,189950
862,1039,1039,131500
863,1097,1097,152000
864,1148,1148,132500
865,1372,1372,250580
866,1002,1002,148500
867,1646,1646,248900
868,1120,1120,129000
869,1547,2320,169000
870,1062,1949,236000
871,894,894,109500
872,804,1682,200500
873,910,910,116000
874,1036,1268,133000
875,676,1131,66500
876,1184,2610,303477
877,1040,1040,132250
878,1462,2224,350000
879,1155,1155,148000
880,864,864,136500
881,1090,1090,157000
882,1187,1717,187500
883,808,1593,178000
884,954,2230,118500
885,892,892,100000
886,1709,1709,328900
887,1712,1712,145000
888,872,1393,135500
889,2217,2217,268000
890,1505,1505,149500
891,672,924,122900
892,918,1683,172500
893,1068,1068,154500
894,1383,1383,165000
895,1535,1535,118858
896,983,1796,140000
897,951,951,106500
898,1120,2240,142953
899,2364,2364,611657
900,1236,1236,135000
901,858,858,110000
902,1306,1306,153000
903,807,1509,180000
904,1670,1670,240000
905,902,902,125500
906,1063,1063,128000
907,1636,1636,255000
908,1020,2057,250000
909,902,902,131000
910,742,1484,174000
911,1105,2274,154300
912,1268,1268,143500
913,1015,1015,88000
914,1001,2002,145000
915,612,1224,173733
916,546,1092,75000
917,480,480,35311
918,1229,1229,135000
919,912,2127,238000
920,1414,1414,176500
921,936,1721,201000
922,1272,2200,145900
923,1316,1316,169990
924,1617,1617,193000
925,1686,1686,207500
926,1126,1126,175000
927,1234,2374,285000
928,1098,1978,176000
929,1788,1788,236500
930,993,2236,222000
931,1466,1466,201000
932,925,925,117500
933,1905,1905,320000
934,1500,1500,190000
935,2069,2069,242000
936,747,747,79900
937,1200,1200,184900
938,1113,1971,253000
939,1391,1962,239799
940,1207,2403,244400
941,1728,1728,150900
942,1022,2060,214000
943,1440,1440,150000
944,1632,1632,143000
945,1344,1344,137500
946,1188,1869,124900
947,1144,1144,143000
948,1629,1629,270000
949,936,1776,192500
950,1381,1381,197500
951,864,864,129000
952,965,965,119900
953,768,768,133900
954,1168,1968,172000
955,980,980,127500
956,979,1958,145000
957,561,1229,124000
958,1057,1057,132000
959,1337,1337,185000
960,696,1416,155000
961,858,858,116500
962,1542,2872,272000
963,804,1548,155000
964,1800,1800,239000
965,824,1894,214900
966,783,1484,178900
967,976,1308,160000
968,1098,1098,135000
969,600,968,37900
970,1095,1095,140000
971,720,1192,135000
972,764,1626,173000
973,918,918,99500
974,1428,1428,182000
975,1136,2019,167500
976,673,1382,165000
977,869,869,85500
978,1241,1241,199900
979,894,894,110000
980,1121,1121,139000
981,999,999,178400
982,1276,2612,336000
983,1266,1266,159895
984,1149,2290,255900
985,1302,1734,126000
986,1164,1164,125000
987,1001,1635,117000
988,1940,1940,395192
989,1118,2030,195000
990,778,1576,197000
991,1407,2392,348000
992,916,1742,168000
993,1020,1851,187000
994,750,1500,173900
995,1718,1718,337500
996,774,1230,121600
997,1050,1050,136500
998,1442,1442,185000
999,1077,1077,91000
1000,1208,1208,206000
1001,944,944,82000
1002,691,691,86000
1003,1574,1574,232000
1004,1680,1680,136905
1005,1504,1504,181000
1006,985,985,149900
1007,1657,1657,163500
1008,546,1092,88000
1009,1710,1710,240000
1010,1008,1522,102000
1011,720,1271,135000
1012,1664,1664,100000
1013,900,1502,165000
1014,1022,1022,85000
1015,1082,1082,119200
1016,810,1665,227000
1017,1504,1504,203000
1018,1360,1360,187500
1019,802,1472,160000
1020,1506,1506,213490
1021,1132,1132,176000
1022,1220,1220,194000
1023,912,1248,87000
1024,1504,1504,191000
1025,2898,2898,287000
1026,882,882,112500
1027,1264,1264,167500
1028,1646,1646,293077
1029,968,1376,105000
1030,672,1218,118000
1031,948,1928,160000
1032,1687,3082,197000
1033,1352,2520,310000
1034,1654,1654,230000
1035,954,954,119750
1036,845,845,84000
1037,1620,1620,315500
1038,1055,2263,287000
1039,798,1344,97000
1040,630,630,80000
1041,1803,1803,155000
1042,800,1632,173000
1043,1306,1306,196000
1044,1532,2329,262280
1045,2524,2524,278000
1046,1733,1733,139600
1047,1992,2868,556581
1048,990,990,145000
1049,1771,1771,115000
1050,930,930,84900
1051,1302,1302,176485
1052,1316,1316,200141
1053,1127,1977,165000
1054,1526,1526,144500
1055,1091,1989,255000
1056,1523,1523,180000
1057,1364,1364,185850
1058,979,1850,248000
1059,1130,2184,335000
1060,1096,1991,220000
1061,1338,1338,213500
1062,894,894,81000
1063,1422,2337,90000
1064,1103,1103,110500
1065,1154,1154,154000
1066,1306,2260,328000
1067,799,1571,178000
1068,798,1611,167900
1069,1291,2521,151400
1070,893,893,135000
1071,1048,1048,135000
1072,829,1556,154000
1073,1002,1456,91500
1074,698,1426,159500
1075,1240,1240,194000
1076,960,1740,219500
1077,1096,1466,170000
1078,1096,1096,138800
1079,848,848,155900
1080,990,990,126000
1081,1258,1258,145000
1082,1040,1040,133000
1083,1459,1459,192000
1084,1251,1251,160000
1085,691,1498,187500
1086,996,996,147000
1087,546,1092,83500
1088,1082,1953,252000
1089,970,1709,137500
1090,1247,1247,197000
1091,1040,1040,92900
1092,624,1252,160000
1093,1390,1694,136500
1094,1200,1200,146000
1095,936,936,129000
1096,1314,1314,176432
1097,773,1355,127000
1098,1088,1088,170000
1099,757,1324,128000
1100,1601,1601,157000
1101,438,438,60000
1102,950,950,119500
1103,1134,1134,135000
1104,1194,1194,159500
1105,630,1302,106000
1106,1500,2622,325000
1107,1442,1442,179900
1108,887,2021,274725
1109,948,1690,181000
1110,1836,1836,280000
1111,773,1658,188000
1112,1098,1964,205000
1113,816,816,129900
1114,1008,1008,134500
1115,833,833,117000
1116,1734,1734,318000
1117,779,1419,184100
1118,894,894,130000
1119,1021,1601,140000
1120,1040,1040,133700
1121,1012,1012,118400
1122,1552,1552,212900
1123,960,960,112000
1124,698,698,118000
1125,812,1482,163900
1126,1005,1005,115000
1127,1555,1555,174000
1128,1530,1530,259000
1129,847,1959,215000
1130,936,936,140000
1131,1328,1981,135000
1132,974,974,93500
1133,1178,2210,117500
1134,1142,2020,239500
1135,916,1600,169000
1136,986,986,102000
1137,1032,1252,119000
1138,780,1020,94000
1139,1567,1567,196000
1140,1167,1167,144000
1141,952,952,139000
1142,1088,1868,197500
1143,1466,2828,424870
1144,1006,1006,80000
1145,672,924,80000
1146,1042,1576,149000
1147,1298,1298,180000
1148,860,1564,174500
1149,572,1111,116900
1150,832,1482,143000
1151,932,932,124000
1152,1466,1466,149900
1153,1811,1811,230000
1154,816,816,120500
1155,902,1820,201800
1156,1437,1437,218000
1157,1265,1265,179900
1158,1314,1314,230000
1159,1580,1580,235128
1160,943,1876,185000
1161,855,1456,146000
1162,1640,1640,224000
1163,894,894,129000
1164,1258,1258,108959
1165,1432,1432,194000
1166,1502,1502,233170
1167,1694,1694,245350
1168,959,1671,173000
1169,1236,2108,235000
1170,1831,3627,625000
1171,1118,1118,171000
1172,1261,1261,163000
1173,625,1250,171900
1174,1636,3086,200500
1175,1170,2345,239000
1176,2129,2872,285000
1177,923,923,119500
1178,818,1224,115000
1179,820,1343,154900
1180,1124,1124,93000
1181,1298,2514,250000
1182,1652,1652,392500
1183,2411,4476,745000
1184,1130,1130,120000
1185,1572,1572,186700
1186,949,1221,104900
1187,1014,1699,95000
1188,1624,1624,262000
1189,831,1660,195000
1190,1028,1804,189000
1191,1622,1622,168000
1192,764,1441,174000
1193,842,1472,125000
1194,1224,1224,165000
1195,663,1352,158000
1196,728,1456,176000
1197,879,1863,219210
1198,815,1690,144000
1199,1212,1212,178000
1200,1382,1382,148000
1201,864,864,116050
1202,866,1779,197900
1203,884,1348,117000
1204,1630,1630,213000
1205,1074,1074,153500
1206,2196,2196,271900
1207,1056,1056,107000
1208,1700,1700,200000
1209,1283,1283,140000
1210,1660,1660,290000
1211,1055,1845,189000
1212,1080,1752,164000
1213,672,672,113000
1214,960,960,145000
1215,999,999,134500
1216,894,894,125000
1217,1318,1902,112000
1218,1314,1314,229456
1219,672,912,80500
1220,672,1218,91500
1221,912,912,115000
1222,1211,1211,134000
1223,1168,1846,143000
1224,2136,2136,137900
1225,788,1490,184000
1226,1138,1138,145000
1227,894,1933,214000
1228,912,912,147000
1229,1702,1702,367294
1230,1507,1507,127000
1231,1361,2620,190000
1232,1190,1190,132500
1233,1224,1224,101800
1234,1188,1188,142000
1235,1024,1964,130000
1236,892,1784,138887
1237,764,1626,175500
1238,847,1948,195000
1239,1141,1141,142500
1240,1484,1484,265900
1241,884,1768,224900
1242,1689,1689,248328
1243,1173,1173,170000
1244,2076,2076,465000
1245,792,1517,230000
1246,1140,1868,178000
1247,756,1553,186500
1248,1034,1034,169900
1249,1134,2058,129500
1250,988,988,119000
1251,2110,2110,244000
1252,1405,1405,171750
1253,874,874,130000
1254,1516,2167,294000
1255,760,1656,165400
1256,959,1367,127500
1257,1987,1987,301500
1258,864,864,99900
1259,1166,1166,190000
1260,1054,1054,151000
1261,892,1675,181000
1262,1050,1050,128900
1263,1104,1788,161500
1264,1060,1824,180500
1265,1337,1337,181000
1266,713,1452,183900
1267,964,1889,122000
1268,2018,2018,378500
1269,1968,3447,381000
1270,874,1524,144000
1271,1332,1524,260000
1272,1489,1489,185750
1273,935,935,137000
1274,1357,1357,177000
1275,661,1250,139000
1276,928,1920,137000
1277,735,1395,162000
1278,1724,1724,197900
1279,1128,2031,237000
1280,698,1128,68400
1281,1573,1573,227000
1282,1339,1339,180000
1283,1040,1040,150500
1284,912,1824,139000
1285,1699,2447,169000
1286,825,1412,132500
1287,1328,1328,143000
1288,1582,1582,190000
1289,1659,1659,278000
1290,1120,1970,281000
1291,1152,1152,180500
1292,630,1302,119500
1293,1378,2372,107500
1294,832,1664,162900
1295,864,864,115000
1296,1052,1052,138500
1297,1128,1128,155000
1298,1072,1072,140000
1299,4692,5642,160000
1300,1246,1246,154000
1301,1005,1983,225000
1302,753,1494,177500
1303,1203,2526,290000
1304,1616,1616,232000
1305,976,1708,130000
